Group,PassRate
1,40.0
2,60.0
3,66.66666666666666
4,60.0
5,66.66666666666666
6,66.66666666666666
7,66.66666666666666
8,73.33333333333333
9,66.66666666666666
10,73.33333333333333
11,73.33333333333333
12,66.66666666666666
13,73.33333333333333
14,73.33333333333333
15,66.66666666666666
16,66.66666666666666
17,73.33333333333333
18,73.33333333333333
19,93.33333333333333
20,93.33333333333333
21,93.33333333333333
22,93.33333333333333
23,86.66666666666667
24,93.33333333333333
25,93.33333333333333
26,93.33333333333333
27,93.33333333333333
28,93.33333333333333
29,93.33333333333333
30,86.66666666666667
31,80.0
32,86.66666666666667
33,93.33333333333333
34,93.33333333333333
35,86.66666666666667
36,93.33333333333333
37,80.0
38,93.33333333333333
39,86.66666666666667
40,93.33333333333333
41,100.0
42,86.66666666666667
43,93.33333333333333
44,100.0
45,86.66666666666667
46,100.0
47,93.33333333333333
48,100.0
49,93.33333333333333
50,80.0
51,93.33333333333333
52,100.0
53,86.66666666666667
54,93.33333333333333
55,93.33333333333333
56,93.33333333333333
57,93.33333333333333
58,100.0
59,100.0
60,93.33333333333333
61,100.0
62,93.33333333333333
63,93.33333333333333
64,93.33333333333333
65,86.66666666666667
66,93.33333333333333
67,100.0
68,100.0
69,100.0
70,93.33333333333333
71,93.33333333333333
72,93.33333333333333
73,100.0
74,100.0
75,86.66666666666667
76,100.0
77,93.33333333333333
78,100.0
79,100.0
80,100.0
81,100.0
82,93.33333333333333
83,100.0
84,93.33333333333333
85,100.0
86,93.33333333333333
87,93.33333333333333
88,100.0
89,93.33333333333333
90,93.33333333333333
91,93.33333333333333
92,100.0
93,86.66666666666667
94,100.0
95,100.0
96,100.0
97,86.66666666666667
98,100.0
99,100.0
100,100.0
